name,category,country,description
Lightspeed Hospitality,POS/Restaurant,NL,Cloud POS and payments for restaurants (HQ in Montreal but major NL office)
OrderYoyo,Online Ordering,NL,Direct online ordering system for restaurants (no middleman commission)
Resengo,Reservations,NL,Online reservation and table management — acquired by Zenchef Sep 2023 (PSG Equity); off-market
MaaS (Meals as a Service),Online Ordering,NL,B2B food ordering and delivery platform
Horecavita,Restaurant POS,NL,POS and management software for hospitality
Misterbook,Hotel PMS,NL,Hotel property management system
GuestU,Guest Engagement,NL,Guest experience platform for hotels
Kashower,POS/Horeca,NL,POS system for hospitality and retail
Foodcase,Inventory,NL,Inventory and purchasing software for hospitality
Planax,Workforce,NL,Employee scheduling software for hospitality
Cures Werkt,Workforce,NL,HR and payroll for hospitality
Juniper,Hotel PMS,NL,Hotel property management system
Horeca Solutions,Restaurant POS,NL,POS and management for horeca
Qompanion,Restaurant POS,NL,Cloud-based hospitality POS
Untill,POS/Restaurant,NL,Cloud POS system built specifically for Dutch hospitality market
Booking Experts,Vacation Rental/PMS,NL,Holiday park and vacation rental management software (NL market leader)
Horeko,Kitchen/F&B,NL,Acquired by Exact (Jul 2022) — off-market; kitchen management recipe and allergen compliance software for restaurants
Valk Solutions,Retail Omnichannel,NL,ASPOS retail platform (NOT hotel PMS; NOT Van der Valk Hotels related; PE-owned since 2023 — remove from HORECA pipeline)
Mews Systems,Hotel PMS,NL,Cloud-native hotel PMS founded in Netherlands now operating globally
Formitable,Reservations,NL,Restaurant reservation platform — merged with Zenchef Jan 2023 (PSG Equity); brand sunset Jan 2024; off-market
Apicbase,Kitchen/F&B,BE,Food cost and kitchen management for multi-unit restaurants
Abcouse,Restaurant Software,BE,POS and restaurant management system for Belgium market
GastroHero,Restaurant POS,BE,IDENTITY COLLISION — gastrohero.be is German PE-backed kitchen equipment (AURELIUS Group); no Belgian POS company confirmed
iPunt,Restaurant POS,BE,LIKELY DEFUNCT — ipunt.be domain parked at Vimexx; no KBO match found
Bionext,Horeca Software,BE,IDENTITY COLLISION — bionext.be is a Luxembourg medical laboratory; no Belgian HORECA software entity found
OrderGrid,B2B Ordering,BE,"IDENTITY COLLISION — ""OrderGrid"" is a Canadian AI company; no Belgian entity confirmed; see OrderBilly as real BE equivalent"
Wavem,Restaurant Software,BE,Restaurant management and reservation platform
