name,category,country,description,folder,status
Lightspeed Hospitality,POS/Restaurant,NL,Cloud POS and payments for restaurants (HQ in Montreal but major NL office),lightspeed-hospitality,
OrderYoyo,Online Ordering,NL,Direct online ordering system for restaurants (no middleman commission),orderyoyo,
Resengo,Reservations,NL,Online reservation and table management — acquired by Zenchef Sep 2023 (PSG Equity); off-market,resengo,
MaaS (Meals as a Service),Online Ordering,NL,B2B food ordering and delivery platform,maas-meals-as-a-service,
Horecavita,Restaurant POS,NL,POS and management software for hospitality,horecavita,
Misterbook,Hotel PMS,NL,Hotel property management system,misterbook,
GuestU,Guest Engagement,NL,Guest experience platform for hotels,guestu,
Kashower,POS/Horeca,NL,POS system for hospitality and retail,kashower,
Foodcase,Inventory,NL,Inventory and purchasing software for hospitality,foodcase,
Planax,Workforce,NL,Employee scheduling software for hospitality,planax,
Cures Werkt,Workforce,NL,HR and payroll for hospitality,cures-werkt,
Juniper,Hotel PMS,NL,Hotel property management system,juniper,
Horeca Solutions,Restaurant POS,NL,POS and management for horeca,horeca-solutions,
Qompanion,Restaurant POS,NL,Cloud-based hospitality POS,qompanion,
Untill,POS/Restaurant,NL,Cloud POS system built specifically for Dutch hospitality market,untill,
Booking Experts,Vacation Rental/PMS,NL,Holiday park and vacation rental management software (NL market leader),booking-experts,
Horeko,Kitchen/F&B,NL,Acquired by Exact (Jul 2022) — off-market; kitchen management recipe and allergen compliance software for restaurants,horeko,
Valk Solutions,Retail Omnichannel,NL,ASPOS retail platform (NOT hotel PMS; NOT Van der Valk Hotels related; PE-owned since 2023 — remove from HORECA pipeline),valk-solutions,
Mews Systems,Hotel PMS,NL,Cloud-native hotel PMS founded in Netherlands now operating globally,mews-systems,
Formitable,Reservations,NL,Restaurant reservation platform — merged with Zenchef Jan 2023 (PSG Equity); brand sunset Jan 2024; off-market,formitable,
Apicbase,Kitchen/F&B,BE,Food cost and kitchen management for multi-unit restaurants,apicbase,
Abcouse,Restaurant Software,BE,POS and restaurant management system for Belgium market,abcouse,
GastroHero,Restaurant POS,BE,IDENTITY COLLISION — gastrohero.be is German PE-backed kitchen equipment (AURELIUS Group); no Belgian POS company confirmed,gastrohero,
iPunt,Restaurant POS,BE,LIKELY DEFUNCT — ipunt.be domain parked at Vimexx; no KBO match found,ipunt,
Bionext,Horeca Software,BE,IDENTITY COLLISION — bionext.be is a Luxembourg medical laboratory; no Belgian HORECA software entity found,bionext,
OrderGrid,B2B Ordering,BE,"IDENTITY COLLISION — ""OrderGrid"" is a Canadian AI company; no Belgian entity confirmed; see OrderBilly as real BE equivalent",ordergrid,
Wavem,Restaurant Software,BE,Restaurant management and reservation platform,wavem,
Deliverect,Online Ordering,BE,Restaurant order management aggregator connecting delivery platforms to POS (unicorn),deliverect,
Tablebooker,Reservations,BE,Restaurant reservation platform — acquired by Zenchef Feb 2024 (PSG Equity); off-market,tablebooker,
Cubilis (Stardekk NV),Hotel PMS/Channel,BE,Hotel channel manager and PMS — acquired by Lighthouse (OTA Insight) Feb 2024; off-market,cubilis-stardekk-nv,
Zenchef,Restaurant Management,FR,PE-backed EU consolidator (PSG Equity); absorbed Formitable+Resengo+Tablebooker; ~€25-43M ARR; not acquirable,zenchef,
HiJiffy,Guest Engagement,BE,AI-powered guest communications and messaging platform for hotels,hijiffy,
BePOS (Becosoft SRL),Restaurant POS,BE,HORECA POS brand within Becosoft SRL — acquired by Arcadea Group (Canada) Oct 2023; PE-overhang blocker,bepos-becosoft-srl,
